collection_no,record_type,formation,lng,lat,collection_name,collection_subset,collection_aka,n_occs,early_interval,late_interval,max_ma,min_ma,reference_no,reference_nos,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments,primary_reference
14664,col,Ludlow,-104.5,46.299999,Bechtold,,UCMP V-76175,1,Puercan,,66,63.3,3122,3122,,,UCMP,some genera,,,,,,,"N. B. Simmons. 1987. A Revision of Taeniolabis (Mammalia: Multituberculata), with a New Species from the Puercan of Eastern Montana. Journal of Paleontology 61(4):794-808"
14665,col,,-106.099998,47.799999,Big Bugger,,,1,Puercan,,66,63.3,2255,2255,,,,some genera,,,,,,,"D. L. Lofgren. 1995. The Bug Creek problem and the Cretaceous-Tertiary transition at McGuire Creek, Montana. University of California Publications in Geological Sciences 140:1-185"
14666,col,Fort Union,-107,47.599998,Biscuit Springs (UCMP V-74122),,Garbani Quarry,7,Puercan,,66,63.3,3583,"266,235,831,924,131,000,000,000,000,000,000",taxonomic,"bulk,surface (float),sieve,field collection",UCMP,some genera,,,,,,,"A. Weil. 1998. A new species of Microcosmodon (Mammalia: Multituberculata)from the Paleocene Tullock Formation of Montana, and an argument for the Microcosmodontinae. PaleoBios 18(2/3):1-15"
14667,col,Hell Creek,-106.099998,47.799999,Black Spring Coulee N 1,,UCMP V-87031,1,Puercan,,66,63.3,2255,2255,,,UCMP,,,,,,,,"D. L. Lofgren. 1995. The Bug Creek problem and the Cretaceous-Tertiary transition at McGuire Creek, Montana. University of California Publications in Geological Sciences 140:1-185"
14668,col,Hell Creek,-106.099998,47.799999,Black Spring Coulee N 3,,UCMP V-87033,3,Puercan,,66,63.3,2255,"22,556,294",,,UCMP,,,,,,,,"D. L. Lofgren. 1995. The Bug Creek problem and the Cretaceous-Tertiary transition at McGuire Creek, Montana. University of California Publications in Geological Sciences 140:1-185"
14669,col,Hell Creek,-106.099998,47.799999,Black Spring Coulee S,,UCMP V-87030,7,Puercan,,66,63.3,2255,"22,556,294",,,UCMP,,,,,,,reworked Meniscoessus robustus is present,"D. L. Lofgren. 1995. The Bug Creek problem and the Cretaceous-Tertiary transition at McGuire Creek, Montana. University of California Publications in Geological Sciences 140:1-185"
14670,col,North Horn,-111.800003,39.099998,Blue Lake,,,9,Puercan,,66,63.3,2930,"293,062,941,812,019,000",,,,,,,,,,about 180 m below upper contact of Fm.,"S. F. Robison. 1986. Paleocene (Puercan-Torrejonian) mammalian faunas of the North Horn Formation, central Utah. Brigham Young University Geology Studies 33(1):87-133"
14671,col,Hell Creek,-106.099998,47.799999,Bug Creek Anthills,,"UCMP V-65127, V-70201",10,Puercan,,66,63.3,962,"962,225,523,315,482,000,000",,,UCMP,,,,,,,"""80 feet below the Tullock Formation in the west half of sect. 9, T 22 N, R 43 E""; see map of Fastovsky and Dott 1986<br>see also Archibald et al. 1987, Swisher et al. 1993;<br>based on Lofgren et al. 1990 and Lofgren 1995, fauna is mixed; I have sorted out Paleocene and reworked Cretaceous lists based on Lofgren's scheme<br>well below the Z-Coal, but correlation is indirect: Fastovsky and Dott 1986","J. D. Archibald and W. A. Clemens. 1984. Mammal evolution near the Cretaceous-Tertiary Boundary.  In W. A. Berggren, J. A. Van Couvering (eds.), Catastrophes and Earth History: The New Uniformitarianism. Princeton: Princeton University Press."
14672,col,Hell Creek,-106.099998,47.799999,Bug Creek West,,,10,Puercan,,66,63.3,53515,"96,215,353,485",biostratigraphic,,,,,,,,,"""60 feet below the Tullock Formation in the northeast quarter of sect. 17, T 22 N, R 43 E""<br>Lofgren 1995 argues that direct superposition of this locality and Bug Creek Anthills is not demonstrable<br>based on Lofgren et al. 1990 and Lofgren 1995, fauna is mixed; I have sorted out Paleocene and reworked Cretaceous lists based on Lofgren's scheme","R. E. Sloan. 1976. The ecology of dinosaur extinction.  In C. S. Churcher (ed.), Athlon: Essays on Palaeontology in Honor of Loris Shano Russell. Royal Ontario Museum, Life Sciences Miscellaneous Publications"
14673,col,,-106.227898,47.666698,By George (BG),,,1,Puercan,,66,63.3,2908,"22,552,908",biostratigraphic,,,some genera,,,,,,,"J. K. Rigby, Jr., K. R. Newman, and J. Smit, S. Van Der Kaars, R. E. Sloan, J. K. Rigby. 1987. Dinosaurs from the Paleocene part of the Hell Creek Formation, McCone County, Montana. Palaios 2(3):296-302"
14675,col,Hell Creek,-106.099998,47.799999,Come Alive Condylarth,,UCMP V-87123,1,Puercan,,66,63.3,2255,2255,,,UCMP,,,,,,,,"D. L. Lofgren. 1995. The Bug Creek problem and the Cretaceous-Tertiary transition at McGuire Creek, Montana. University of California Publications in Geological Sciences 140:1-185"
14676,col,Hell Creek,-106.099998,47.799999,Condylarth Flats,,UCMP V-87124,3,Puercan,,66,63.3,2255,"22,556,294",,,UCMP,,,,,,,,"D. L. Lofgren. 1995. The Bug Creek problem and the Cretaceous-Tertiary transition at McGuire Creek, Montana. University of California Publications in Geological Sciences 140:1-185"
14677,col,Denver,-104.800003,38.799999,Corral Bluffs (UCM 77274),,,2,Puercan,,66,63.3,2585,2585,,,UCM,,,,,,,,"M. D. Middleton. 1983. Early Paleocene vertebrates of the Denver Basin, Colorado.. Boulder: University of Colorado."
14678,col,Denver,-104.800003,38.799999,Corral Bluffs (UCM 77275),,,5,Puercan,,66,63.3,2585,"258,526,071",,,UCM,,,,,,,,"M. D. Middleton. 1983. Early Paleocene vertebrates of the Denver Basin, Colorado.. Boulder: University of Colorado."
14679,col,Denver,-104.800003,38.799999,Corral Bluffs (UCM 77276),,,2,Puercan,,66,63.3,2585,2585,,,UCM,,,,,,,,"M. D. Middleton. 1983. Early Paleocene vertebrates of the Denver Basin, Colorado.. Boulder: University of Colorado."
14680,col,Denver,-104.800003,38.799999,Corral Bluffs (UCM 77278),,,1,Puercan,,66,63.3,2585,2585,,,UCM,,,,,,,,"M. D. Middleton. 1983. Early Paleocene vertebrates of the Denver Basin, Colorado.. Boulder: University of Colorado."
14681,col,Denver,-104.800003,38.799999,Corral Bluffs (UCM 77279),,,1,Puercan,,66,63.3,2585,2585,,,UCM,,,,,,,,"M. D. Middleton. 1983. Early Paleocene vertebrates of the Denver Basin, Colorado.. Boulder: University of Colorado."
14682,col,Denver,-104.800003,38.799999,Corral Bluffs (UCM 77280),,,1,Puercan,,66,63.3,2585,2585,,,UCM,,,,,,,,"M. D. Middleton. 1983. Early Paleocene vertebrates of the Denver Basin, Colorado.. Boulder: University of Colorado."
14683,col,Denver,-104.800003,38.799999,Corral Bluffs (UCM 77281),,,4,Puercan,,66,63.3,2585,2585,,,UCM,,,,,,,,"M. D. Middleton. 1983. Early Paleocene vertebrates of the Denver Basin, Colorado.. Boulder: University of Colorado."
14684,col,Denver,-104.800003,38.799999,Corral Bluffs (UCM 77287),,,1,Puercan,,66,63.3,2585,2585,,,UCM,,,,,,,,"M. D. Middleton. 1983. Early Paleocene vertebrates of the Denver Basin, Colorado.. Boulder: University of Colorado."
14685,col,Denver,-104.800003,38.799999,Corral Bluffs (UCM 77288),,,1,Puercan,,66,63.3,2585,2585,,,UCM,,,,,,,,"M. D. Middleton. 1983. Early Paleocene vertebrates of the Denver Basin, Colorado.. Boulder: University of Colorado."
14686,col,Denver,-104.800003,38.799999,Corral Bluffs (UCM 83095),,,1,Puercan,,66,63.3,2585,2585,,,UCM,,,,,,,,"M. D. Middleton. 1983. Early Paleocene vertebrates of the Denver Basin, Colorado.. Boulder: University of Colorado."
14687,col,Denver,-104.800003,38.799999,Corral Bluffs (UCM 83097),,,1,Puercan,,66,63.3,2585,2585,,,UCM,,,,,,,,"M. D. Middleton. 1983. Early Paleocene vertebrates of the Denver Basin, Colorado.. Boulder: University of Colorado."
14688,col,Denver,-104.800003,38.799999,Corral Bluffs (UCM 83098),,,1,Puercan,,66,63.3,2585,2585,,,UCM,,,,,,,,"M. D. Middleton. 1983. Early Paleocene vertebrates of the Denver Basin, Colorado.. Boulder: University of Colorado."
14689,col,Denver,-104.800003,38.799999,Corral Bluffs (USGS),,,2,Puercan,,66,63.3,2585,2585,,,USGS,,,,,,,there may be an error here as USGS localities D810 and D812 are not present in the data base but are listed at different levels in the recorded section,"M. D. Middleton. 1983. Early Paleocene vertebrates of the Denver Basin, Colorado.. Boulder: University of Colorado."
14690,col,Hell Creek,-106.099998,47.799999,Coulee Seven-Four,,UCMP V-87066,1,Puercan,,66,63.3,2255,2255,,,UCMP,,,,,,,,"D. L. Lofgren. 1995. The Bug Creek problem and the Cretaceous-Tertiary transition at McGuire Creek, Montana. University of California Publications in Geological Sciences 140:1-185"
14691,col,Ravenscrag,-109.199997,49.5,Croc Pot,,,19,Puercan,,66,63.3,1536,"15,363,206,629,465,000",,,,,,,,,,,R. C. Fox. 1990. The succession of Paleocene mammals in western Canada. Geological Society of America Special Paper 243:51-70
14692,col,North Horn,-111.800003,39.099998,Dairy Creek,,,12,Puercan,,66,63.3,2930,"293,062,941,812,019,000",,,,,,,,,,about 180 m below upper contact of Fm.,"S. F. Robison. 1986. Paleocene (Puercan-Torrejonian) mammalian faunas of the North Horn Formation, central Utah. Brigham Young University Geology Studies 33(1):87-133"
14693,col,Fort Union,-104.800003,47.099998,Deer Crash Locality,,JHH L6426,1,Puercan,,66,63.3,1985,1985,,,,,1 specimens,,,,,NISP 1,"J. P. Hunter. 1997. Mammals and mollusks across the Cretaceous-Tertiary boundary from Makoshika State Park and vicinity (Williston Basin), Montana. Contributions to Geology, University of Wyoming 32(1):61-114"
14694,col,,-106.099998,47.799999,Doverzee,,,3,Puercan,,66,63.3,2255,"22,556,294",,,,some genera,,,,,,sec 16 T22N R43E<br>this is a channel cutting through the Z coal: Lofgren 1995,"D. L. Lofgren. 1995. The Bug Creek problem and the Cretaceous-Tertiary transition at McGuire Creek, Montana. University of California Publications in Geological Sciences 140:1-185"
14695,col,Porcupine Hills,-114.099998,51,Dunbow Road,,DeWinton Quarry,1,Torrejonian,,63.3,61.7,1536,1536,general faunal/floral,,,,,,,,,"city of Calgary is at 51*05' N, 114*05' W, so this is at about 51*00' N<br>age uncertain",R. C. Fox. 1990. The succession of Paleocene mammals in western Canada. Geological Society of America Special Paper 243:51-70
14696,col,Hell Creek,-106.099998,47.799999,Eagle High,,UCMP V-87051 (in part),6,Puercan,,66,63.3,2255,2255,,,UCMP,,,,,,,,"D. L. Lofgren. 1995. The Bug Creek problem and the Cretaceous-Tertiary transition at McGuire Creek, Montana. University of California Publications in Geological Sciences 140:1-185"
14697,col,Hell Creek,-106.099998,47.799999,Eagle High Extension,,UCMP V-87050,1,Puercan,,66,63.3,2255,"22,556,294",,,UCMP,,,,,,,,"D. L. Lofgren. 1995. The Bug Creek problem and the Cretaceous-Tertiary transition at McGuire Creek, Montana. University of California Publications in Geological Sciences 140:1-185"
14698,col,Hell Creek,-106.099998,47.799999,Eagle Nest Channel 1,,UCMP V-87028 (in part),6,Puercan,,66,63.3,2255,2255,,,UCMP,,,,,,,,"D. L. Lofgren. 1995. The Bug Creek problem and the Cretaceous-Tertiary transition at McGuire Creek, Montana. University of California Publications in Geological Sciences 140:1-185"
14699,col,Hell Creek,-106.099998,47.799999,Eagle Nest Channel 2,,UCMP V-87029 (in part),5,Puercan,,66,63.3,2255,"22,556,294",,,UCMP,,,,,,,,"D. L. Lofgren. 1995. The Bug Creek problem and the Cretaceous-Tertiary transition at McGuire Creek, Montana. University of California Publications in Geological Sciences 140:1-185"
14700,col,Hell Creek,-106.099998,47.799999,Eagle Nest Ridge West,,UCMP V-87117,1,Puercan,,66,63.3,2255,"22,556,294",,,UCMP,,,,,,,,"D. L. Lofgren. 1995. The Bug Creek problem and the Cretaceous-Tertiary transition at McGuire Creek, Montana. University of California Publications in Geological Sciences 140:1-185"
14701,col,Hell Creek,-106.099998,47.799999,Eagle Nest Southeast,,UCMP V-87091,3,Puercan,,66,63.3,2255,2255,,,UCMP,,,,,,,,"D. L. Lofgren. 1995. The Bug Creek problem and the Cretaceous-Tertiary transition at McGuire Creek, Montana. University of California Publications in Geological Sciences 140:1-185"
14702,col,Hell Creek,-106.099998,47.799999,Eagle South,,UCMP V-87052 (in part),4,Puercan,,66,63.3,2255,2255,,,UCMP,,,,,,,,"D. L. Lofgren. 1995. The Bug Creek problem and the Cretaceous-Tertiary transition at McGuire Creek, Montana. University of California Publications in Geological Sciences 140:1-185"
14703,col,Nacimiento,-108.199997,36.299999,East Flank Kimbeto Wash (Puercan),,AMNH Locs. 6 of Sinclair and Granger; Black Stripe; Lower Black Streak; NMMNH 700; Old Dolan Ranch,17,Puercan,,66,63.3,3646,"36,466,294",,,,,,,,,,"a.k.a. ""Three miles east of Kimbetoh""<br>Williamson's list 14<br>multis are omitted","T. E. Williamson. 1996. The beginning of the age of mammals in the San Juan Basin, New Mexico; biostratigraphy and evolution of Paleocene mammals of the Nacimiento Formation. New Mexico Museum of Natural History and Science Bulletin 8:1-141"
14704,col,Tullock,-106.550003,47.700001,Fantastic Palate Hill,,,1,Puercan,,66,63.3,2585,2585,,,,some genera,,,,,,,"M. D. Middleton. 1983. Early Paleocene vertebrates of the Denver Basin, Colorado.. Boulder: University of Colorado."
14705,col,Hell Creek,-106.206497,47.797298,Ferguson Ranch (FR),,,8,Puercan,,66,63.3,3199,"290,831,996,294",biostratigraphic,,,some genera,,,,,,"about 1.3 m above the base of the lower Z coalsec 33 T24N R43Ebased on Lofgren et al. 1990 and presence of many apparently reworked dinosaur teeth, list may be mixed, but none of the identified mammals are definitely known from the Lancian","R. E. Sloan, J. K. Rigby, Jr., and L. M. Van Valen, D. Gabriel. 1986. Gradual dinosaur extinction and simultaneous ungulate radiation in the Hell Creek Formation. Science 232:629-633"
14706,col,Ferris,-107,41.799999,Ferris Formation (UW V-91002),,Red Rock Gully,6,Puercan,,66,63.3,1419,"141,922,367,306",biostratigraphic,,UW,,5 specimens,,,,,"exact stratigraphic position somewhat uncertain; between 3010' and 3058' according to Lillegraven and Eberle 1999<br>""Taeniolabis"" is said to occur here by Lillegraven and Eberle 1999, but this is a lapsus for UW V-91022","J. J. Eberle and J. A. Lillegraven. 1998. A new important record of earliest Cenozoic mammalian history: geologic setting, Multituberculata, and Peradectia. Rocky Mountain Geology 33(1):3-47"
14707,col,Ferris,-106.863892,41.934032,Ferris Formation (UW V-91003),,Mister Kissoff Locality,2,Puercan,,66,63.3,1419,"14,192,236",taxonomic,,UW,,,,,,,,"J. J. Eberle and J. A. Lillegraven. 1998. A new important record of earliest Cenozoic mammalian history: geologic setting, Multituberculata, and Peradectia. Rocky Mountain Geology 33(1):3-47"
14708,col,Ferris,-107,41.799999,Ferris Formation (UW V-91010),,Crashing Ledge Locality,1,Puercan,,66,63.3,1419,"14,192,236",,,UW,,2 specimens,,,,,,"J. J. Eberle and J. A. Lillegraven. 1998. A new important record of earliest Cenozoic mammalian history: geologic setting, Multituberculata, and Peradectia. Rocky Mountain Geology 33(1):3-47"
14709,col,Ferris,-106.876312,41.939877,Ferris Formation (UW V-91014),,Grassy Anthill Locality,2,Puercan,,66,63.3,1419,"14,192,236",biostratigraphic,,UW,,,,,,,,"J. J. Eberle and J. A. Lillegraven. 1998. A new important record of earliest Cenozoic mammalian history: geologic setting, Multituberculata, and Peradectia. Rocky Mountain Geology 33(1):3-47"
14710,col,Ferris,-106.876312,41.939877,Ferris Formation (UW V-91015),,The Castle,2,Puercan,,66,63.3,1419,"14,192,236",biostratigraphic,,UW,,,,,,,,"J. J. Eberle and J. A. Lillegraven. 1998. A new important record of earliest Cenozoic mammalian history: geologic setting, Multituberculata, and Peradectia. Rocky Mountain Geology 33(1):3-47"
14711,col,Ferris,-106.876312,41.939877,Ferris Formation (UW V-91016),,Bonzer Blowout,3,Puercan,,66,63.3,1419,"14,192,236",biostratigraphic,,UW,,,,,,,,"J. J. Eberle and J. A. Lillegraven. 1998. A new important record of earliest Cenozoic mammalian history: geologic setting, Multituberculata, and Peradectia. Rocky Mountain Geology 33(1):3-47"
14712,col,Ferris,-106.862129,41.935726,Ferris Formation (UW V-91018),,Beginner's Luck,1,Puercan,,66,63.3,1419,"14,192,236",biostratigraphic,,UW,,,,,,,,"J. J. Eberle and J. A. Lillegraven. 1998. A new important record of earliest Cenozoic mammalian history: geologic setting, Multituberculata, and Peradectia. Rocky Mountain Geology 33(1):3-47"
14713,col,Ferris,-106.865173,41.935638,Ferris Formation (UW V-91019),,Turtle Forest,4,Puercan,,66,63.3,1419,"141,922,366,294",biostratigraphic,,UW,,,,,,,,"J. J. Eberle and J. A. Lillegraven. 1998. A new important record of earliest Cenozoic mammalian history: geologic setting, Multituberculata, and Peradectia. Rocky Mountain Geology 33(1):3-47"
14714,col,Ferris,-106.865173,41.935638,Ferris Formation (UW V-91020),,Cliff-hanger Locality,1,Puercan,,66,63.3,1419,"14,192,236",biostratigraphic,,UW,,,,,,,,"J. J. Eberle and J. A. Lillegraven. 1998. A new important record of earliest Cenozoic mammalian history: geologic setting, Multituberculata, and Peradectia. Rocky Mountain Geology 33(1):3-47"
14715,col,Ferris,-106.863892,41.934032,Ferris Formation (UW V-91021),,Windswept Phantasmagoria,1,Puercan,,66,63.3,1419,"14,192,236",biostratigraphic,,UW,,,,,,,,"J. J. Eberle and J. A. Lillegraven. 1998. A new important record of earliest Cenozoic mammalian history: geologic setting, Multituberculata, and Peradectia. Rocky Mountain Geology 33(1):3-47"
14716,col,Ferris,-106.860023,41.935535,Ferris Formation (UW V-91022),,Sherri's Place,5,Puercan,,66,63.3,1419,"14,192,236",biostratigraphic,,UW,,,,,,,,"J. J. Eberle and J. A. Lillegraven. 1998. A new important record of earliest Cenozoic mammalian history: geologic setting, Multituberculata, and Peradectia. Rocky Mountain Geology 33(1):3-47"
14717,col,Ferris,-106.849876,41.936554,Ferris Formation (UW V-91024),,Mummified Bat Locality,1,Puercan,,66,63.3,1419,"14,192,236",taxonomic,,UW,,1 specimens,,,,,,"J. J. Eberle and J. A. Lillegraven. 1998. A new important record of earliest Cenozoic mammalian history: geologic setting, Multituberculata, and Peradectia. Rocky Mountain Geology 33(1):3-47"
14718,col,Ferris,-106.856804,41.935993,Ferris Formation (UW V-91026),,Life's a Beach,1,Puercan,,66,63.3,1419,"14,192,236",biostratigraphic,,UW,,1 specimens,,,,,,"J. J. Eberle and J. A. Lillegraven. 1998. A new important record of earliest Cenozoic mammalian history: geologic setting, Multituberculata, and Peradectia. Rocky Mountain Geology 33(1):3-47"
14719,col,Ferris,-106.856804,41.935993,Ferris Formation (UW V-91027),,Fallen Bonanza,2,Puercan,,66,63.3,1419,"14,192,236",biostratigraphic,,UW,,,,,,,,"J. J. Eberle and J. A. Lillegraven. 1998. A new important record of earliest Cenozoic mammalian history: geologic setting, Multituberculata, and Peradectia. Rocky Mountain Geology 33(1):3-47"
14720,col,Ferris,-106.860023,41.935535,Ferris Formation (UW V-91028),,Elvis' Domain,5,Puercan,,66,63.3,1419,"14,192,236",biostratigraphic,,UW,,,,,,,,"J. J. Eberle and J. A. Lillegraven. 1998. A new important record of earliest Cenozoic mammalian history: geologic setting, Multituberculata, and Peradectia. Rocky Mountain Geology 33(1):3-47"
14721,col,Ferris,-106.862007,41.934395,Ferris Formation (UW V-91030),,This is Unusual,1,Puercan,,66,63.3,1419,"14,192,236",biostratigraphic,,UW,,,,,,,stratigraphic position between 3035' and 3058': Lillegraven and Eberle 1999,"J. J. Eberle and J. A. Lillegraven. 1998. A new important record of earliest Cenozoic mammalian history: geologic setting, Multituberculata, and Peradectia. Rocky Mountain Geology 33(1):3-47"
14722,col,Ferris,-106.876312,41.939877,Ferris Formation (UW V-91031),,Python Point,14,Puercan,,66,63.3,1419,"141,922,366,294",biostratigraphic,,UW,,,,,,,,"J. J. Eberle and J. A. Lillegraven. 1998. A new important record of earliest Cenozoic mammalian history: geologic setting, Multituberculata, and Peradectia. Rocky Mountain Geology 33(1):3-47"
14723,col,Ferris,-106.863892,41.934032,Ferris Formation (UW V-92009),,Beach Spire Locality,4,Puercan,,66,63.3,1419,"14,192,236",biostratigraphic,,UW,,,,,,,,"J. J. Eberle and J. A. Lillegraven. 1998. A new important record of earliest Cenozoic mammalian history: geologic setting, Multituberculata, and Peradectia. Rocky Mountain Geology 33(1):3-47"
14724,col,Ferris,-106.876312,41.939877,Ferris Formation (UW V-92014),,Resting Nighthawk Locality,2,Puercan,,66,63.3,1419,"14,192,236",biostratigraphic,,UW,,,,,,,,"J. J. Eberle and J. A. Lillegraven. 1998. A new important record of earliest Cenozoic mammalian history: geologic setting, Multituberculata, and Peradectia. Rocky Mountain Geology 33(1):3-47"
14725,col,Ferris,-106.86821,41.935825,Ferris Formation (UW V-92016),,One Thousand Points of Pain,1,Puercan,,66,63.3,1419,"14,192,236",biostratigraphic,,UW,,,,,,,,"J. J. Eberle and J. A. Lillegraven. 1998. A new important record of earliest Cenozoic mammalian history: geologic setting, Multituberculata, and Peradectia. Rocky Mountain Geology 33(1):3-47"
14726,col,Ferris,-107,41.799999,Ferris Formation (UW V-92021),,Waiting for Brad and Jill,1,Puercan,,66,63.3,1419,"14,192,236",biostratigraphic,,UW,,1 specimens,,,,,,"J. J. Eberle and J. A. Lillegraven. 1998. A new important record of earliest Cenozoic mammalian history: geologic setting, Multituberculata, and Peradectia. Rocky Mountain Geology 33(1):3-47"
14727,col,Ferris,-106.860023,41.935535,Ferris Formation (UW V-92022),,Opposite Cliff-face from Yertle,1,Puercan,,66,63.3,1419,"14,192,236",biostratigraphic,,UW,,,,,,,,"J. J. Eberle and J. A. Lillegraven. 1998. A new important record of earliest Cenozoic mammalian history: geologic setting, Multituberculata, and Peradectia. Rocky Mountain Geology 33(1):3-47"
14728,col,Ferris,-106.852859,41.936592,Ferris Formation (UW V-92024),,Swirling Dervish,2,Puercan,,66,63.3,1419,"14,192,236",biostratigraphic,,UW,,2 specimens,,,,,,"J. J. Eberle and J. A. Lillegraven. 1998. A new important record of earliest Cenozoic mammalian history: geologic setting, Multituberculata, and Peradectia. Rocky Mountain Geology 33(1):3-47"
14729,col,Ferris,-106.852417,41.938557,Ferris Formation (UW V-92025),,Temple of the Cow,9,Puercan,,66,63.3,1419,"1,419,223,662,947,300",biostratigraphic,,UW,,16 specimens,,,,,,"J. J. Eberle and J. A. Lillegraven. 1998. A new important record of earliest Cenozoic mammalian history: geologic setting, Multituberculata, and Peradectia. Rocky Mountain Geology 33(1):3-47"
14730,col,Ferris,-106.852417,41.938557,Ferris Formation (UW V-92026),,Psycho Hopper Basher,1,Puercan,,66,63.3,1419,"14,192,236",biostratigraphic,,UW,,1 specimens,,,,,,"J. J. Eberle and J. A. Lillegraven. 1998. A new important record of earliest Cenozoic mammalian history: geologic setting, Multituberculata, and Peradectia. Rocky Mountain Geology 33(1):3-47"
14731,col,Ferris,-106.863892,41.934032,Ferris Formation (UW V-92031),,Son of Kissoff,6,Puercan,,66,63.3,1419,"14,192,236",biostratigraphic,,UW,,,,,,,,"J. J. Eberle and J. A. Lillegraven. 1998. A new important record of earliest Cenozoic mammalian history: geologic setting, Multituberculata, and Peradectia. Rocky Mountain Geology 33(1):3-47"
